,Fname,Original,Numeric
0,Product_Info_1,1,0
1,Product_Info_1,2,1
0,Product_Info_2,D3,0
1,Product_Info_2,A1,1
2,Product_Info_2,E1,2
3,Product_Info_2,D4,3
4,Product_Info_2,D2,4
5,Product_Info_2,A8,5
6,Product_Info_2,A2,6
7,Product_Info_2,D1,7
8,Product_Info_2,A7,8
9,Product_Info_2,A6,9
10,Product_Info_2,A3,10
11,Product_Info_2,A5,11
12,Product_Info_2,C4,12
13,Product_Info_2,C1,13
14,Product_Info_2,B2,14
15,Product_Info_2,C3,15
16,Product_Info_2,C2,16
17,Product_Info_2,A4,17
18,Product_Info_2,B1,18
0,Product_Info_5,2,0
1,Product_Info_5,3,1
0,Product_Info_6,1,0
1,Product_Info_6,3,1
0,Product_Info_7,1,0
1,Product_Info_7,3,1
2,Product_Info_7,2,2
0,Employment_Info_3,1,0
1,Employment_Info_3,3,1
0,Employment_Info_5,3,0
1,Employment_Info_5,2,1
0,InsuredInfo_1,1,0
1,InsuredInfo_1,2,1
2,InsuredInfo_1,3,2
0,InsuredInfo_2,2,0
1,InsuredInfo_2,3,1
0,InsuredInfo_3,6,0
1,InsuredInfo_3,8,1
2,InsuredInfo_3,3,2
3,InsuredInfo_3,4,3
4,InsuredInfo_3,2,4
5,InsuredInfo_3,1,5
6,InsuredInfo_3,11,6
7,InsuredInfo_3,7,7
8,InsuredInfo_3,5,8
9,InsuredInfo_3,10,9
10,InsuredInfo_3,9,10
0,InsuredInfo_4,3,0
1,InsuredInfo_4,2,1
0,InsuredInfo_5,1,0
1,InsuredInfo_5,3,1
0,InsuredInfo_6,2,0
1,InsuredInfo_6,1,1
0,InsuredInfo_7,1,0
1,InsuredInfo_7,3,1
0,Insurance_History_1,1,0
1,Insurance_History_1,2,1
0,Insurance_History_2,1,0
1,Insurance_History_2,3,1
2,Insurance_History_2,2,2
0,Insurance_History_3,3,0
1,Insurance_History_3,1,1
2,Insurance_History_3,2,2
0,Insurance_History_4,1,0
1,Insurance_History_4,3,1
2,Insurance_History_4,2,2
0,Insurance_History_7,1,0
1,Insurance_History_7,3,1
2,Insurance_History_7,2,2
0,Insurance_History_8,1,0
1,Insurance_History_8,3,1
2,Insurance_History_8,2,2
0,Insurance_History_9,2,0
1,Insurance_History_9,3,1
2,Insurance_History_9,1,2
0,Family_Hist_1,2,0
1,Family_Hist_1,3,1
2,Family_Hist_1,1,2
0,Medical_History_3,2,0
1,Medical_History_3,3,1
2,Medical_History_3,1,2
0,Medical_History_4,1,0
1,Medical_History_4,2,1
0,Medical_History_5,1,0
1,Medical_History_5,2,1
2,Medical_History_5,3,2
0,Medical_History_6,3,0
1,Medical_History_6,1,1
2,Medical_History_6,2,2
0,Medical_History_7,2,0
1,Medical_History_7,1,1
2,Medical_History_7,3,2
0,Medical_History_8,2,0
1,Medical_History_8,3,1
2,Medical_History_8,1,2
0,Medical_History_9,1,0
1,Medical_History_9,2,1
2,Medical_History_9,3,2
0,Medical_History_11,3,0
1,Medical_History_11,1,1
2,Medical_History_11,2,2
0,Medical_History_12,2,0
1,Medical_History_12,3,1
2,Medical_History_12,1,2
0,Medical_History_13,3,0
1,Medical_History_13,1,1
2,Medical_History_13,2,2
0,Medical_History_14,3,0
1,Medical_History_14,2,1
2,Medical_History_14,1,2
0,Medical_History_16,3,0
1,Medical_History_16,1,1
2,Medical_History_16,2,2
0,Medical_History_17,3,0
1,Medical_History_17,2,1
2,Medical_History_17,1,2
0,Medical_History_18,1,0
1,Medical_History_18,2,1
2,Medical_History_18,3,2
0,Medical_History_19,1,0
1,Medical_History_19,2,1
2,Medical_History_19,3,2
0,Medical_History_20,2,0
1,Medical_History_20,1,1
2,Medical_History_20,3,2
0,Medical_History_21,1,0
1,Medical_History_21,2,1
2,Medical_History_21,3,2
0,Medical_History_22,2,0
1,Medical_History_22,1,1
0,Medical_History_23,3,0
1,Medical_History_23,1,1
2,Medical_History_23,2,2
0,Medical_History_25,1,0
1,Medical_History_25,2,1
2,Medical_History_25,3,2
0,Medical_History_26,3,0
1,Medical_History_26,2,1
2,Medical_History_26,1,2
0,Medical_History_27,3,0
1,Medical_History_27,1,1
2,Medical_History_27,2,2
0,Medical_History_28,1,0
1,Medical_History_28,2,1
2,Medical_History_28,3,2
0,Medical_History_29,3,0
1,Medical_History_29,1,1
2,Medical_History_29,2,2
0,Medical_History_30,2,0
1,Medical_History_30,3,1
2,Medical_History_30,1,2
0,Medical_History_31,3,0
1,Medical_History_31,1,1
2,Medical_History_31,2,2
0,Medical_History_33,1,0
1,Medical_History_33,3,1
0,Medical_History_34,3,0
1,Medical_History_34,1,1
2,Medical_History_34,2,2
0,Medical_History_35,1,0
1,Medical_History_35,3,1
2,Medical_History_35,2,2
0,Medical_History_36,2,0
1,Medical_History_36,3,1
2,Medical_History_36,1,2
0,Medical_History_37,2,0
1,Medical_History_37,1,1
