,colname,colmin,colmax
0,Id,2.0,79146.0
1,Product_Info_3,1.0,38.0
2,Product_Info_4,0.0,1.0
3,Ins_Age,0.0,1.0
4,Ht,0.0,1.0
5,Wt,0.0,1.0
6,BMI,0.0,1.0
7,Employment_Info_1,0.0,0.5
8,Employment_Info_2,1.0,32.0
9,Employment_Info_4,-0.010454408174602749,0.15000000596046448
10,Employment_Info_6,-0.7444198938813145,1.0
11,Insurance_History_5,-0.0021938849267666427,0.009999999776482582
12,Family_Hist_2,0.0,1.0393984430888676
13,Family_Hist_3,0.0,1.0
14,Family_Hist_4,-1.2828353613652854,1.911623249189891
15,Family_Hist_5,0.0,1.0
16,Medical_History_1,-3.5081353030284887,82.0
17,Medical_History_2,1.0,648.0
18,Medical_History_15,-405.1530281413661,462.04678448412847
19,Response,1.0,8.0
20,Product_Info_1_0,0.0,1.0
21,Product_Info_1_1,0.0,1.0
22,Product_Info_2_0,0.0,1.0
23,Product_Info_2_1,0.0,1.0
24,Product_Info_2_2,0.0,1.0
25,Product_Info_2_3,0.0,1.0
26,Product_Info_2_4,0.0,1.0
27,Product_Info_2_5,0.0,1.0
28,Product_Info_2_6,0.0,1.0
29,Product_Info_2_7,0.0,1.0
30,Product_Info_2_8,0.0,1.0
31,Product_Info_2_9,0.0,1.0
32,Product_Info_2_10,0.0,1.0
33,Product_Info_2_11,0.0,1.0
34,Product_Info_2_12,0.0,1.0
35,Product_Info_2_13,0.0,1.0
36,Product_Info_2_14,0.0,1.0
37,Product_Info_2_15,0.0,1.0
38,Product_Info_2_16,0.0,1.0
39,Product_Info_2_17,0.0,1.0
40,Product_Info_2_18,0.0,1.0
41,Product_Info_5_0,0.0,1.0
42,Product_Info_5_1,0.0,1.0
43,Product_Info_6_0,0.0,1.0
44,Product_Info_6_1,0.0,1.0
45,Product_Info_7_0,0.0,1.0
46,Product_Info_7_1,0.0,1.0
47,Product_Info_7_2,0.0,1.0
48,Employment_Info_3_0,0.0,1.0
49,Employment_Info_3_1,0.0,1.0
50,Employment_Info_5_0,0.0,1.0
51,Employment_Info_5_1,0.0,1.0
52,InsuredInfo_1_0,0.0,1.0
53,InsuredInfo_1_1,0.0,1.0
54,InsuredInfo_1_2,0.0,1.0
55,InsuredInfo_2_0,0.0,1.0
56,InsuredInfo_2_1,0.0,1.0
57,InsuredInfo_3_0,0.0,1.0
58,InsuredInfo_3_1,0.0,1.0
59,InsuredInfo_3_2,0.0,1.0
60,InsuredInfo_3_3,0.0,1.0
61,InsuredInfo_3_4,0.0,1.0
62,InsuredInfo_3_5,0.0,1.0
63,InsuredInfo_3_6,0.0,1.0
64,InsuredInfo_3_7,0.0,1.0
65,InsuredInfo_3_8,0.0,1.0
66,InsuredInfo_3_9,0.0,1.0
67,InsuredInfo_3_10,0.0,1.0
68,InsuredInfo_4_0,0.0,1.0
69,InsuredInfo_4_1,0.0,1.0
70,InsuredInfo_5_0,0.0,1.0
71,InsuredInfo_5_1,0.0,1.0
72,InsuredInfo_6_0,0.0,1.0
73,InsuredInfo_6_1,0.0,1.0
74,InsuredInfo_7_0,0.0,1.0
75,InsuredInfo_7_1,0.0,1.0
76,Insurance_History_1_0,0.0,1.0
77,Insurance_History_1_1,0.0,1.0
78,Insurance_History_2_0,0.0,1.0
79,Insurance_History_2_1,0.0,1.0
80,Insurance_History_2_2,0.0,1.0
81,Insurance_History_3_0,0.0,1.0
82,Insurance_History_3_1,0.0,1.0
83,Insurance_History_3_2,0.0,1.0
84,Insurance_History_4_0,0.0,1.0
85,Insurance_History_4_1,0.0,1.0
86,Insurance_History_4_2,0.0,1.0
87,Insurance_History_7_0,0.0,1.0
88,Insurance_History_7_1,0.0,1.0
89,Insurance_History_7_2,0.0,1.0
90,Insurance_History_8_0,0.0,1.0
91,Insurance_History_8_1,0.0,1.0
