Team,Season,MATCHES PLAYED,WINS,DRAWS,LOSSES,FINISHING POSITION,HIGHEST SCORE,BIGGEST WINNING MARGIN,TOTAL RAIDS,SUCCESSFUL RAIDS,UNSUCCESSFUL RAID,EMPTY RAIDS,SUCCESS RAID %,NO. OF SUPER RAIDS,RAID TOUCH POINTS,RAID BONUS POINTS,TOTAL RAID POINTS,TOTAL TACKLES,SUCCESSFUL TACKLES,UNSUCCESFUL TACKLES,SUCCESSFUL TACKLE %,NO. OF SUPER TACKLES,ALL OUTS INFLICTED,TOTAL ALL OUT POINTS,TOTAL DEFENCE POINTS
Dabang Delhi K.C.,OVERALL,120,45,9,66,0,50VS,23 45VS 22,5076,1734,1153,2189,43%,62,1656,512,2168,2833,979,1854,38%,96,136,272,1068
Dabang Delhi K.C.,7,18,14,2,2,1,50VS,20 41VS 21,729,312,143,274,52%,8,282,98,380,422,162,260,40%,8,29,58,168
Dabang Delhi K.C.,6,24,12,2,10,3,48VS,13 48VS 35,997,401,224,372,48%,13,367,116,483,559,198,361,39%,19,34,68,216
Dabang Delhi K.C.,5,22,5,1,16,6,38VS,8 38VS 30,973,283,214,476,35%,6,260,84,344,497,159,338,34%,12,18,36,169
Dabang Delhi K.C.,4,14,4,1,9,7,41VS,21 41VS 20,619,162,120,337,37%,11,170,56,226,306,116,190,44%,20,15,30,134
Dabang Delhi K.C.,3,14,1,1,12,8,36VS,14 21VS 35,614,171,162,281,38%,5,175,58,233,346,98,248,32%,13,9,18,111
Dabang Delhi K.C.,2,14,4,1,9,6,45VS,19 45VS 26,585,159,151,275,37%,14,174,43,217,333,122,211,41%,14,13,26,136
Dabang Delhi K.C.,1,14,5,1,8,6,46VS,23 45VS 22,559,246,139,174,51%,5,228,57,285,370,124,246,36%,10,18,36,134
Haryana Steelers,OVERALL,62,30,7,25,0,47VS,22 25VS 47,2676,947,587,1142,44%,36,902,285,1187,1536,551,985,39%,47,68,136,596
Haryana Steelers,7,17,11,1,5,3,47VS,22 25VS 47,705,259,151,295,48%,12,272,64,336,430,165,265,41%,11,25,50,176
Haryana Steelers,6,22,6,2,14,6,43VS,11 32VS 43,941,361,230,350,48%,12,306,141,447,562,180,382,34%,15,16,32,193
Haryana Steelers,5,23,13,4,6,3,42VS,18 24VS 42,1030,327,206,497,39%,12,324,80,404,544,206,338,42%,21,27,54,227
Tamil Thalaivas,OVERALL,62,14,9,39,0,46VS,22 24VS 46,2697,943,623,1131,42%,16,862,280,1142,1415,502,913,39%,45,52,104,545
Tamil Thalaivas,7,18,3,3,12,12,39VS,13 26VS 39,750,248,194,308,42%,4,239,74,313,400,144,256,39%,13,13,26,155
Tamil Thalaivas,6,22,5,4,13,6,46VS,22 24VS 46,925,344,222,359,45%,7,314,105,419,498,174,324,38%,15,20,40,189
