Player Name,Season,Matches Played,Raid Points,Super Raids,Tackle Points,Super Tackle,Total Points,Super 10s,High 5s,Team,Position,Country,Retained Young Player
Abolfazl Maghsoudloumahali,3,3,,,,,,,,Gujarat Fortune Giants,Raider,Irani,Rs 15.75 lakh
Abolfazl Maghsoudloumahali,4,9,25,2,,,25,,,Gujarat Fortune Giants,Raider,Irani,Rs 15.75 lakh
Abolfazl Maghsoudloumahali,5,19,91,,6,1,97,,,Gujarat Fortune Giants,Raider,Irani,Rs 15.75 lakh
Abolfazl Maghsoudloumahali,6,10,23,2,2,,25,,,Gujarat Fortune Giants,Raider,Irani,Rs 15.75 lakh
Abozar Mighani(Captain),5,24,1,,65,2,66,,,Telugu Titans,Defender,Irani,Rs 75 lakh
Abozar Mighani(Captain),6,21,,,56,8,56,,,Telugu Titans,Defender,Irani,Rs 75 lakh
Ajay,6,7,,,4,,4,,,Bengaluru Bulls,Defender,Indian,
Ajay Thakur(Captain),1,15,122,2,5,0,27,,,Tamil Thalaivas,Raider,Indian,Retained Elite Player
Ajay Thakur(Captain),2,13,79,6,1,0,80,,,Tamil Thalaivas,Raider,Indian,Retained Elite Player
Ajay Thakur(Captain),3,14,52,2,4,0,56,,,Tamil Thalaivas,Raider,Indian,Retained Elite Player
Ajay Thakur(Captain),4,16,63,5,1,0,64,,,Tamil Thalaivas,Raider,Indian,Retained Elite Player
Ajay Thakur(Captain),5,22,213,3,9,0,222,,,Tamil Thalaivas,Raider,Indian,Retained Elite Player
Ajay Thakur(Captain),6,22,203,3,1,0,204,,,Tamil Thalaivas,Raider,Indian,Retained Elite Player
Aman Kadian,6,1,,,,,,,,Dabang Delhi,Raider,Indian,
Amit Hooda,2,12,5,0,21,1,26,,,Patna Pirates,Defender - Right Corner,Indian,Rs 53 lakh
Amit Hooda,3,4,0,0,11,0,11,,,Patna Pirates,Defender - Right Corner,Indian,Rs 53 lakh
Amit Hooda,4,16,2,0,51,4,53,,,Jaipur Pink Panthers,Defender - Right Corner,Indian,Rs 53 lakh
Amit Hooda,5,22,0,0,61,6,61,,,Tamil Thalaivas,Defender - Right Corner,Indian,Rs 53 lakh
Amit Hooda,6,18,2,0,49,4,51,,,Tamil Thalaivas,Defender - Right Corner,Indian,Rs 53 lakh
Amit kharb,6,6,,,2,1,2,,,Gujarat Fortune Giants,"Defender, right cover",Indian,
Amit Kumar,6,6,8,1,,,8,,,Puneri Paltan,Raider,Indian,Rs 12 lakh
Amit Narwal,6,14,,,1,6,,,,UP Yoddha,Defender - Left Cover,Indian,Retained Elite Player
Amit Sheoran,5,4,,,,,,,,Bengaluru Bulls,Defender,Indian,Young Retained Player
Amit Sheoran,6,15,,,38,2,38,,,Bengaluru Bulls,Defender,Indian,Young Retained Player
Anand,6,3,8,,,,8,,,Tamil Thalaivas,Raider,Indian,
Anil Kumar,3,11,2,,19,,21,,,Dabang Delhi,Defender - Left cover,Indian,Rs 20 lakh
Anil Kumar,4,4,,,2,,2,,,Dabang Delhi,Defender - Left cover,Indian,Rs 20 lakh
