Season,Team,Position,Metrics,Score
1,Jaipur Pink Panthers,1,TOTAL POINTS,579
1,U Mumba,2,TOTAL POINTS,550
1,Patna Pirates,3,TOTAL POINTS,504
1,Bengaluru Bulls,4,TOTAL POINTS,498
1,Telugu Titans,5,TOTAL POINTS,497
1,Puneri Paltan,1,TOTAL POINTS CONCEDED,536
1,Bengal Warriors,2,TOTAL POINTS CONCEDED,515
1,U Mumba,3,TOTAL POINTS CONCEDED,499
1,Patna Pirates,4,TOTAL POINTS CONCEDED,487
1,Bengaluru Bulls,5,TOTAL POINTS CONCEDED,479
1,Jaipur Pink Panthers,1,DO-OR-DIE RAID POINTS,50
1,Puneri Paltan,2,DO-OR-DIE RAID POINTS,48
1,Patna Pirates,3,DO-OR-DIE RAID POINTS,42
1,U Mumba,4,DO-OR-DIE RAID POINTS,40
1,Bengaluru Bulls,4,DO-OR-DIE RAID POINTS,40
1,U Mumba,1,RAID POINTS,347
1,Jaipur Pink Panthers,2,RAID POINTS,344
1,Telugu Titans,3,RAID POINTS,336
1,Patna Pirates,4,RAID POINTS,316
1,Bengaluru Bulls,5,RAID POINTS,291
1,Telugu Titans,1,AVERAGE RAID POINTS,24
1,U Mumba,2,AVERAGE RAID POINTS,21.69
1,Jaipur Pink Panthers,3,AVERAGE RAID POINTS,21.5
1,Dabang Delhi K.C.,4,AVERAGE RAID POINTS,20.36
1,Bengal Warriors,5,AVERAGE RAID POINTS,20.21
1,Jaipur Pink Panthers,1,ALL-OUTS INFLICTED,29
1,Telugu Titans,2,ALL-OUTS INFLICTED,25
1,U Mumba,3,ALL-OUTS INFLICTED,21
1,Bengaluru Bulls,4,ALL-OUTS INFLICTED,20
1,Dabang Delhi K.C.,5,ALL-OUTS INFLICTED,18
1,Jaipur Pink Panthers,1,TACKLE POINTS,170
1,Bengaluru Bulls,2,TACKLE POINTS,163
1,U Mumba,3,TACKLE POINTS,157
1,Patna Pirates,4,TACKLE POINTS,142
1,Dabang Delhi K.C.,5,TACKLE POINTS,134
1,Jaipur Pink Panthers,1,AVERAGE TACKLE POINTS,10.63
1,Bengaluru Bulls,2,AVERAGE TACKLE POINTS,10.19
1,U Mumba,3,AVERAGE TACKLE POINTS,9.81
1,Dabang Delhi K.C.,4,AVERAGE TACKLE POINTS,9.57
1,Patna Pirates,5,AVERAGE TACKLE POINTS,8.88
1,Puneri Paltan,1,ALL-OUTS CONCEDED,26
1,Bengal Warriors,2,ALL-OUTS CONCEDED,25
1,Dabang Delhi K.C.,3,ALL-OUTS CONCEDED,23
1,U Mumba,4,ALL-OUTS CONCEDED,19
1,Patna Pirates,5,ALL-OUTS CONCEDED,17
2,Telugu Titans,1,TOTAL POINTS,586
2,Bengaluru Bulls,2,TOTAL POINTS,508
2,U Mumba,3,TOTAL POINTS,489
2,Patna Pirates,4,TOTAL POINTS,444
2,Jaipur Pink Panthers,5,TOTAL POINTS,442
2,Telugu Titans,1,TOTAL POINTS CONCEDED,493
2,Patna Pirates,2,TOTAL POINTS CONCEDED,489
2,Puneri Paltan,3,TOTAL POINTS CONCEDED,465
2,Dabang Delhi K.C.,4,TOTAL POINTS CONCEDED,464
2,Bengaluru Bulls,5,TOTAL POINTS CONCEDED,457
2,U Mumba,1,DO-OR-DIE RAID POINTS,81
2,Bengaluru Bulls,2,DO-OR-DIE RAID POINTS,80
2,Telugu Titans,3,DO-OR-DIE RAID POINTS,66
2,Dabang Delhi K.C.,4,DO-OR-DIE RAID POINTS,61
2,Patna Pirates,5,DO-OR-DIE RAID POINTS,60
2,Telugu Titans,1,RAID POINTS,344
2,Bengaluru Bulls,2,RAID POINTS,252
2,U Mumba,3,RAID POINTS,237
2,Jaipur Pink Panthers,4,RAID POINTS,232
2,Patna Pirates,5,RAID POINTS,228
2,Telugu Titans,1,AVERAGE RAID POINTS,21.5
2,Jaipur Pink Panthers,2,AVERAGE RAID POINTS,16.57
2,Puneri Paltan,3,AVERAGE RAID POINTS,15.93
2,Bengaluru Bulls,4,AVERAGE RAID POINTS,15.75
2,Dabang Delhi K.C.,5,AVERAGE RAID POINTS,15.5
2,Telugu Titans,1,ALL-OUTS INFLICTED,26
2,Bengaluru Bulls,2,ALL-OUTS INFLICTED,25
2,U Mumba,3,ALL-OUTS INFLICTED,20
2,Jaipur Pink Panthers,4,ALL-OUTS INFLICTED,17
2,Dabang Delhi K.C.,5,ALL-OUTS INFLICTED,13
2,U Mumba,1,TACKLE POINTS,196
2,Telugu Titans,2,TACKLE POINTS,172
2,Patna Pirates,3,TACKLE POINTS,164
2,Bengaluru Bulls,3,TACKLE POINTS,164
2,Jaipur Pink Panthers,5,TACKLE POINTS,142
2,U Mumba,1,AVERAGE TACKLE POINTS,12.25
2,Telugu Titans,2,AVERAGE TACKLE POINTS,10.75
2,Patna Pirates,3,AVERAGE TACKLE POINTS,10.25
2,Bengaluru Bulls,3,AVERAGE TACKLE POINTS,10.25
2,Jaipur Pink Panthers,5,AVERAGE TACKLE POINTS,10.14
2,Patna Pirates,1,ALL-OUTS CONCEDED,21
2,Puneri Paltan,1,ALL-OUTS CONCEDED,21
2,Dabang Delhi K.C.,3,ALL-OUTS CONCEDED,20
2,Bengal Warriors,4,ALL-OUTS CONCEDED,17
2,Bengaluru Bulls,5,ALL-OUTS CONCEDED,16
3,Patna Pirates,1,TOTAL POINTS,594
3,Puneri Paltan,2,TOTAL POINTS,510
3,U Mumba,3,TOTAL POINTS,502
3,Bengal Warriors,4,TOTAL POINTS,460
3,Telugu Titans,5,TOTAL POINTS,427
3,Dabang Delhi K.C.,1,TOTAL POINTS CONCEDED,525
3,Patna Pirates,2,TOTAL POINTS CONCEDED,468
