SEASONS,OVERALL,SEASON 7,SEASON 6,
MATCHES PLAYED,13,7,6,
TOTAL POINTS,,,,
EARNED,9,6,3,
MOST POINTS IN A,,,,
MATCH,3,3,1,
NOT OUT % ?,90.9 %,88.88 %,100 %,
TOTAL RAIDS,11,9,2,
SUCCESSFUL RAIDS,,,,
%,0,0,0,
NO OF SUPER RAID?S,0,0,0,
SUPER 10S ?,0,0,0,
TOTAL RAID POINTS,0,0,0,
AVERAGE RAID,,,,
POINTS / MATCH,0,0,0,
NO OF SUPER ?,,,,
TACKLES,1,1,0,
HIGH 5S ?,0,0,0,
TOTAL TACKLE,,,,
POINTS,9,6,3,
AVERAGE TACKLE /,,,,
MATCH,0.61,0.71,0.5,
TOTAL TACKLES,32,21,11,
TACKLE STRIKE RATE,28.12 %,28.57 %,27.27 %,
