SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,
MATCHES PLAYED,62,16,24,22,
TOTAL POINTS,,,,,
EARNED,167,46,63,58,
MOST POINTS IN A,,,,,
MATCH,10,7,6,10,
NOT OUT % ?,90 %,100 %,80 %,100 %,
TOTAL RAIDS,20,8,10,2,
SUCCESSFUL RAIDS,,,,,
%,5,0,0,50,
NO OF SUPER RAID?S,0,0,0,0,
SUPER 10S ?,0,0,0,0,
TOTAL RAID POINTS,1,0,0,1,
AVERAGE RAID,,,,,
POINTS / MATCH,0.01,0,0,0.04,
NO OF SUPER ?,,,,,
TACKLES,13,7,1,5,
HIGH 5S ?,12,3,6,3,
TOTAL TACKLE,,,,,
POINTS,166,46,63,57,
AVERAGE TACKLE /,,,,,
MATCH,2.46,2.43,2.58,2.36,
TOTAL TACKLES,325,90,122,113,
TACKLE STRIKE RATE,51.07 %,51.11 %,51.63 %,50.44 %,
