SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 3,SEASON 2,SEASON 1,
MATCHES PLAYED,23,1,16,0,1,0,5,
TOTAL POINTS,,,,,,,,
EARNED,23,0,20,0,1,0,2,
MOST POINTS IN A,,,,,,,,
MATCH,3,0,3,0,1,0,2,
NOT OUT % ?,0,0,0,0,0,0,0,
TOTAL RAIDS,0,0,0,0,0,0,0,
SUCCESSFUL RAIDS,,,,,,,,
%,0,0,0,0,0,0,0,
NO OF SUPER RAID?S,0,0,0,0,0,0,0,
SUPER 10S ?,0,0,0,0,0,0,0,
TOTAL RAID POINTS,0,0,0,0,0,0,0,
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0,0,0,0,0,0,0,
NO OF SUPER ?,,,,,,,,
TACKLES,0,0,0,0,0,0,0,
HIGH 5S ?,0,0,0,0,0,0,0,
TOTAL TACKLE,,,,,,,,
POINTS,23,0,20,0,1,0,2,
AVERAGE TACKLE /,,,,,,,,
MATCH,1,0,1.25,0,1,0,0.4,
TOTAL TACKLES,70,0,55,0,3,0,12,
TACKLE STRIKE RATE,32.85 %,0,36.36 %,0,33.33 %,0,16.66 %,
