SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,
MATCHES PLAYED,89,17,24,22,14,12,
TOTAL POINTS,,,,,,,
EARNED,703,92,171,231,100,109,
MOST POINTS IN A,,,,,,,
MATCH,32,14,16,32,11,16,
NOT OUT % ?,79.08 %,70.86 %,81.23 %,80.38 %,77.77 %,84.26 %,
TOTAL RAIDS,1401,230,341,418,234,178,
SUCCESSFUL RAIDS,,,,,,,
%,47.39,38.26,47.5,52.39,39.74,57.3,
NO OF SUPER RAID?S,15,2,5,1,3,4,
SUPER 10S ?,26,3,5,12,1,5,
TOTAL RAID POINTS,664,88,162,219,93,102,
AVERAGE RAID,,,,,,,
POINTS / MATCH,7.46,5.17,6.75,9.95,6.64,8.5,
NO OF SUPER ?,,,,,,,
TACKLES,2,0,0,1,1,0,
HIGH 5S ?,1,0,1,0,0,0,
TOTAL TACKLE,,,,,,,
POINTS,39,4,9,12,7,7,
AVERAGE TACKLE /,,,,,,,
MATCH,0.41,0.23,0.37,0.5,0.42,0.58,
TOTAL TACKLES,104,17,30,27,16,14,
TACKLE STRIKE RATE,37.5 %,23.52 %,30 %,44.44 %,43.75 %,50 %,
