SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 3,
MATCHES PLAYED,14,1,10,0,3,
TOTAL POINTS,,,,,,
EARNED,19,0,16,0,3,
MOST POINTS IN A,,,,,,
MATCH,4,0,4,0,3,
NOT OUT % ?,50 %,0,50 %,0,0,
TOTAL RAIDS,2,0,2,0,0,
SUCCESSFUL RAIDS,,,,,,
%,0,0,0,0,0,
NO OF SUPER RAID?S,0,0,0,0,0,
SUPER 10S ?,0,0,0,0,0,
TOTAL RAID POINTS,0,0,0,0,0,
AVERAGE RAID,,,,,,
POINTS / MATCH,0,0,0,0,0,
NO OF SUPER ?,,,,,,
TACKLES,3,0,3,0,0,
HIGH 5S ?,0,0,0,0,0,
TOTAL TACKLE,,,,,,
POINTS,19,0,16,0,3,
AVERAGE TACKLE /,,,,,,
MATCH,1.14,0,1.3,0,1,
TOTAL TACKLES,45,1,34,0,10,
TACKLE STRIKE RATE,42.22 %,0,47.05 %,0,30 %,
