SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,
MATCHES PLAYED,83,7,24,20,14,13,5,
TOTAL POINTS,,,,,,,,
EARNED,157,6,45,32,37,32,5,
MOST POINTS IN A,,,,,,,,
MATCH,7,4,7,6,7,7,4,
NOT OUT % ?,81.18 %,75 %,92.59 %,75.71 %,81.25 %,84.21 %,90 %,
TOTAL RAIDS,186,12,27,70,48,19,10,
SUCCESSFUL RAIDS,,,,,,,,
%,24.73,8.33,18.51,24.28,29.16,36.84,20,
NO OF SUPER RAID?S,0,0,0,0,0,0,0,
SUPER 10S ?,0,0,0,0,0,0,0,
TOTAL RAID POINTS,46,1,5,17,14,7,2,
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0.55,0.14,0.2,0.85,1,0.53,0.4,
NO OF SUPER ?,,,,,,,,
TACKLES,13,2,3,1,6,0,1,
HIGH 5S ?,4,0,1,1,1,1,0,
TOTAL TACKLE,,,,,,,,
POINTS,111,5,40,15,23,25,3,
AVERAGE TACKLE /,,,,,,,,
MATCH,1.18,0.42,1.54,0.7,1.21,1.92,0.4,
TOTAL TACKLES,270,19,87,49,44,61,10,
TACKLE STRIKE RATE,41.11 %,26.31 %,45.97 %,30.61 %,52.27 %,40.98 %,30 %,
