SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,
MATCHES PLAYED,75,19,24,9,10,13,
TOTAL POINTS,,,,,,,
EARNED,612,256,282,10,11,53,
MOST POINTS IN A,,,,,,,
MATCH,29,29,22,4,4,7,
NOT OUT % ?,72.54 %,74.05 %,77.33 %,45.83 %,48.48 %,64.54 %,
TOTAL RAIDS,885,343,375,24,33,110,
SUCCESSFUL RAIDS,,,,,,,
%,65.31,70.55,72.26,37.5,33.33,40.9,
NO OF SUPER RAID?S,19,6,12,0,0,1,
SUPER 10S ?,26,13,13,0,0,0,
TOTAL RAID POINTS,578,242,271,9,11,45,
AVERAGE RAID,,,,,,,
POINTS / MATCH,7.7,12.73,11.29,1,1.1,3.46,
NO OF SUPER ?,,,,,,,
TACKLES,3,1,0,0,0,2,
HIGH 5S ?,0,0,0,0,0,0,
TOTAL TACKLE,,,,,,,
POINTS,34,14,11,1,0,8,
AVERAGE TACKLE /,,,,,,,
MATCH,0.41,0.68,0.45,0.11,0,0.46,
TOTAL TACKLES,89,29,40,2,1,17,
TACKLE STRIKE RATE,38.2 %,48.27 %,27.5 %,50 %,0,47.05 %,
