SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,
MATCHES PLAYED,2,0,0,0,0,0,0,2,
TOTAL POINTS,,,,,,,,,
EARNED,0,0,0,0,0,0,0,0,
MOST POINTS IN A,,,,,,,,,
MATCH,0,0,0,0,0,0,0,0,
NOT OUT % ?,0,0,0,0,0,0,0,0,
TOTAL RAIDS,0,0,0,0,0,0,0,0,
SUCCESSFUL RAIDS,,,,,,,,,
%,0,0,0,0,0,0,0,0,
NO OF SUPER RAID?S,0,0,0,0,0,0,0,0,
SUPER 10S ?,0,0,0,0,0,0,0,0,
TOTAL RAID POINTS,0,0,0,0,0,0,0,0,
AVERAGE RAID,,,,,,,,,
POINTS / MATCH,0,0,0,0,0,0,0,0,
NO OF SUPER ?,,,,,,,,,
TACKLES,0,0,0,0,0,0,0,0,
HIGH 5S ?,0,0,0,0,0,0,0,0,
TOTAL TACKLE,,,,,,,,,
POINTS,0,0,0,0,0,0,0,0,
AVERAGE TACKLE /,,,,,,,,,
MATCH,0,0,0,0,0,0,0,0,
TOTAL TACKLES,0,0,0,0,0,0,0,0,
TACKLE STRIKE RATE,0,0,0,0,0,0,0,0,
