SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,30,7,18,5
TOTAL POINTS,,,,
EARNED,35,6,23,6
MOST POINTS IN A,,,,
MATCH,3,2,3,3
NOT OUT % ?,68.85 %,0,77.77 %,56 %
TOTAL RAIDS,61,0,36,25
SUCCESSFUL RAIDS,,,,
%,14.75,0,11.11,20
NO OF SUPER RAID?S,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,9,0,4,5
AVERAGE RAID,,,,
POINTS / MATCH,0.3,0,0.22,1
NO OF SUPER ?,,,,,
TACKLES,,0,0,0,0
HIGH 5S ?,,0,0,0,0
TOTAL TACKLE,,,,,
POINTS,,26,6,19,1
AVERAGE TACKLE /,,,,,
MATCH,,0.86,0.85,1.05,0.2
TOTAL TACKLES,,92,25,65,2
TACKLE STRIKE RATE,,28.26 %,24 %,29.23 %,50 %
