SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,48,20,15,13
TOTAL POINTS,,,,
EARNED,96,53,21,22
MOST POINTS IN A,,,,
MATCH,7,5,5,7
NOT OUT % ?,88.88 %,100 %,71.42 %,100 %
TOTAL RAIDS,18,3,7,8
SUCCESSFUL RAIDS,,,,
%,11.11,0,14.28,12.5
NO OF SUPER RAID?S,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,2,0,1,1
AVERAGE RAID,,,,
POINTS / MATCH,0.04,0,0.06,0.07
NO OF SUPER ?,,,,,
TACKLES,,7,2,1,4
HIGH 5S ?,,4,3,0,1
TOTAL TACKLE,,,,,
POINTS,,94,53,20,21
AVERAGE TACKLE /,,,,,
MATCH,,1.81,2.55,1.26,1.3
TOTAL TACKLES,,198,113,51,34
TACKLE STRIKE RATE,,47.47 %,46.9 %,39.21 %,61.76 %
