SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,112,19,19,22,14,16,13,9
TOTAL POINTS,,,,,,,,
EARNED,228,32,40,44,26,31,39,16
MOST POINTS IN A,,,,,,,,
MATCH,9,4,5,5,4,4,9,4
NOT OUT % ?,100 %,0,100 %,100 %,0,0,100 %,0
TOTAL RAIDS,4,0,1,2,0,0,1,0
SUCCESSFUL RAIDS,,,,,,,,
%,25,0,0,0,0,0,100,0
NO OF SUPER RAID?S,0,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0,0
TOTAL RAID POINTS,1,0,0,0,0,0,1,0
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0,0,0,0,0,0,0.07,0
NO OF SUPER ?,,,,,,,,,
TACKLES,,22,1,4,7,2,1,7,0
HIGH 5S ?,,5,0,1,1,0,0,3,0
TOTAL TACKLE,,,,,,,,,
POINTS,,227,32,40,44,26,31,38,16
AVERAGE TACKLE /,,,,,,,,,
MATCH,,1.83,1.63,1.89,1.68,1.71,1.87,2.38,1.77
TOTAL TACKLES,,493,86,90,104,62,62,58,31
TACKLE STRIKE RATE,,46.04 %,37.2 %,44.44 %,42.3 %,41.93 %,50 %,65.51 %,51.61 %
