SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,81,18,22,22,11,4,4
TOTAL POINTS,,,,,,,
EARNED,369,101,123,124,12,2,7
MOST POINTS IN A,,,,,,,
MATCH,12,12,12,11,3,1,3
NOT OUT % ?,77.07 %,79.18 %,78.03 %,77.45 %,69.04 %,16.66 %,71.42 %
TOTAL RAIDS,820,197,255,306,42,6,14
SUCCESSFUL RAIDS,,,,,,,
%,44.26,50.25,47.84,40.19,28.57,33.33,35.71
NO OF SUPER RAID?S,7,4,1,2,0,0,0
SUPER 10S ?,10,3,4,3,0,0,0
TOTAL RAID POINTS,363,99,122,123,12,2,5
AVERAGE RAID,,,,,,,
POINTS / MATCH,4.48,5.5,5.54,5.59,1.09,0.5,1.25
NO OF SUPER ?,,,,,,,,
TACKLES,,0,0,0,0,0,0,0
HIGH 5S ?,,0,0,0,0,0,0,0
TOTAL TACKLE,,,,,,,,
POINTS,,6,2,1,1,0,0,2
AVERAGE TACKLE /,,,,,,,,
MATCH,,0.07,0.11,0.04,0.04,0,0,0.5
TOTAL TACKLES,,50,14,11,17,1,2,5
TACKLE STRIKE RATE,,12 %,14.28 %,9.09 %,5.88 %,0,0,40 %
