SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,42,20,22
TOTAL POINTS,,,
EARNED,435,258,177
MOST POINTS IN A,,,
MATCH,19,19,15
NOT OUT % ?,82.79 %,85.29 %,79.47 %
TOTAL RAIDS,715,408,307
SUCCESSFUL RAIDS,,,
%,59.86,62.74,56.02
NO OF SUPER RAID?S,5,2,3
SUPER 10S ?,27,19,8
TOTAL RAID POINTS,428,256,172
AVERAGE RAID,,,
POINTS / MATCH,10.19,12.8,7.81
NO OF SUPER ?,,,,
TACKLES,,1,0,1
HIGH 5S ?,,0,0,0
TOTAL TACKLE,,,,
POINTS,,7,2,5
AVERAGE TACKLE /,,,,
MATCH,,0.14,0.1,0.18
TOTAL TACKLES,,18,6,12
TACKLE STRIKE RATE,,38.88 %,33.33 %,41.66 %
