SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3
MATCHES PLAYED,54,16,18,5,4,11
TOTAL POINTS,,,,,,
EARNED,84,30,30,1,2,21
MOST POINTS IN A,,,,,,
MATCH,4,4,4,1,2,4
NOT OUT % ?,84.84 %,100 %,77.77 %,100 %,100 %,80 %
TOTAL RAIDS,33,3,9,4,2,15
SUCCESSFUL RAIDS,,,,,,
%,9.09,0,11.11,0,0,13.33
NO OF SUPER RAID?S,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0
TOTAL RAID POINTS,3,0,1,0,0,2
AVERAGE RAID,,,,,,
POINTS / MATCH,0.05,0,0.05,0,0,0.18
NO OF SUPER ?,,,,,,,
TACKLES,,5,1,4,0,0,0
HIGH 5S ?,,0,0,0,0,0,0
TOTAL TACKLE,,,,,,,
POINTS,,81,30,29,1,2,19
AVERAGE TACKLE /,,,,,,,
MATCH,,1.4,1.81,1.38,0.2,0.5,1.72
TOTAL TACKLES,,199,78,60,3,7,51
TACKLE STRIKE RATE,,40.7 %,38.46 %,48.33 %,33.33 %,28.57 %,37.25 %
