SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 2,SEASON 1
MATCHES PLAYED,61,19,24,11,1,6
TOTAL POINTS,,,,,,
EARNED,326,110,158,51,1,6
MOST POINTS IN A,,,,,,
MATCH,12,12,11,11,1,4
NOT OUT % ?,75.49 %,74.16 %,76.89 %,77.86 %,62.5 %,60 %
TOTAL RAIDS,706,240,316,122,8,20
SUCCESSFUL RAIDS,,,,,,
%,44.75,44.16,48.41,41.8,0,30
NO OF SUPER RAID?S,9,3,3,3,0,0
SUPER 10S ?,6,2,3,1,0,0
TOTAL RAID POINTS,316,106,153,51,0,6
AVERAGE RAID,,,,,,
POINTS / MATCH,5.18,5.57,6.37,4.63,0,1
NO OF SUPER ?,,,,,,,
TACKLES,,2,1,1,0,0,0
HIGH 5S ?,,0,0,0,0,0,0
TOTAL TACKLE,,,,,,,
POINTS,,10,4,5,0,1,0
AVERAGE TACKLE /,,,,,,,
MATCH,,0.13,0.15,0.16,0,1,0
TOTAL TACKLES,,44,17,15,4,2,6
TACKLE STRIKE RATE,,22.72 %,23.52 %,33.33 %,0,50 %,0
