SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,95,13,19,20,14,14,15
TOTAL POINTS,,,,,,,
EARNED,393,31,97,104,75,48,38
MOST POINTS IN A,,,,,,,
MATCH,15,12,15,14,11,11,11
NOT OUT % ?,78.86 %,67.69 %,77.46 %,82.53 %,85.39 %,71.42 %,62.79 %
TOTAL RAIDS,861,65,213,292,178,70,43
SUCCESSFUL RAIDS,,,,,,,
%,39.37,46.15,44.13,32.87,35.39,38.57,67.44
NO OF SUPER RAID?S,17,1,6,3,4,0,3
SUPER 10S ?,6,1,2,2,0,0,1
TOTAL RAID POINTS,339,30,94,96,63,27,29
AVERAGE RAID,,,,,,,
POINTS / MATCH,3.56,2.3,4.94,4.8,4.5,1.92,1.93
NO OF SUPER ?,,,,,,,,
TACKLES,,6,0,0,0,3,3,0
HIGH 5S ?,,0,0,0,0,0,0,0
TOTAL TACKLE,,,,,,,,
POINTS,,54,1,3,8,12,21,9
AVERAGE TACKLE /,,,,,,,,
MATCH,,0.5,0.07,0.15,0.4,0.64,1.28,0.6
TOTAL TACKLES,,146,2,16,37,30,38,23
TACKLE STRIKE RATE,,36.98 %,50 %,18.75 %,21.62 %,40 %,55.26 %,39.13 %
