SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,
MATCHES PLAYED,38,19,15,4,
TOTAL POINTS,,,,,
EARNED,81,43,38,0,
MOST POINTS IN A,,,,,
MATCH,6,6,5,0,
NOT OUT % ?,0,0,0,0,
TOTAL RAIDS,1,1,0,0,
SUCCESSFUL RAIDS,,,,,
%,0,0,0,0,
NO OF SUPER RAID?S,0,0,0,0,
SUPER 10S ?,0,0,0,0,
TOTAL RAID POINTS,0,0,0,0,
AVERAGE RAID,,,,,
POINTS / MATCH,0,0,0,0,
NO OF SUPER ?,,,,,
TACKLES,5,3,2,0,
HIGH 5S ?,5,3,2,0,
TOTAL TACKLE,,,,,
POINTS,81,43,38,0,
AVERAGE TACKLE /,,,,,
MATCH,2,2.1,2.4,0,
TOTAL TACKLES,160,83,71,6,
TACKLE STRIKE RATE,50.62 %,51.8 %,53.52 %,0,
