SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,
MATCHES PLAYED,21,9,4,8,
TOTAL POINTS,,,,,
EARNED,14,5,3,6,
MOST POINTS IN A,,,,,
MATCH,3,3,2,3,
NOT OUT % ?,88.88 %,100 %,100 %,66.66 %,
TOTAL RAIDS,9,4,2,3,
SUCCESSFUL RAIDS,,,,,
%,33.33,0,100,33.33,
NO OF SUPER RAID?S,0,0,0,0,
SUPER 10S ?,0,0,0,0,
TOTAL RAID POINTS,3,0,2,1,
AVERAGE RAID,,,,,
POINTS / MATCH,0.14,0,0.5,0.12,
NO OF SUPER ?,,,,,
TACKLES,3,1,0,2,
HIGH 5S ?,0,0,0,0,
TOTAL TACKLE,,,,,
POINTS,11,5,1,5,
AVERAGE TACKLE /,,,,,
MATCH,0.38,0.44,0.25,0.37,
TOTAL TACKLES,39,16,11,12,
TACKLE STRIKE RATE,28.2 %,31.25 %,9.09 %,41.66 %,
