SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,
MATCHES PLAYED,29,1,0,19,9,
TOTAL POINTS,,,,,,
EARNED,61,0,0,41,20,
MOST POINTS IN A,,,,,,
MATCH,8,0,0,8,5,
NOT OUT % ?,75.54 %,0,0,74.79 %,77.04 %,
TOTAL RAIDS,184,0,0,123,61,
SUCCESSFUL RAIDS,,,,,,
%,28.26,0,0,26.82,31.14,
NO OF SUPER RAID?S,0,0,0,0,0,
SUPER 10S ?,0,0,0,0,0,
TOTAL RAID POINTS,52,0,0,33,19,
AVERAGE RAID,,,,,,
POINTS / MATCH,1.79,0,0,1.73,2.11,
NO OF SUPER ?,,,,,,
TACKLES,0,0,0,0,0,
HIGH 5S ?,0,0,0,0,0,
TOTAL TACKLE,,,,,,
POINTS,9,0,0,8,1,
AVERAGE TACKLE /,,,,,,
MATCH,0.31,0,0,0.42,0.11,
TOTAL TACKLES,37,2,0,29,6,
TACKLE STRIKE RATE,24.32 %,0,0,27.58 %,16.66 %,
