SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 2,SEASON 1
MATCHES PLAYED,79,20,22,21,0,16
TOTAL POINTS,,,,,,
EARNED,740,205,206,192,0,137
MOST POINTS IN A,,,,,,
MATCH,19,19,17,17,0,13
NOT OUT % ?,80.42%,82.07%,79.52%,82.01%,0,76%
TOTAL RAIDS,1236,318,376,367,0,175
SUCCESSFUL RAIDS,,,,,,
%,59.14,64.46,54.78,51.77,0,74.28
NO OF SUPER RAID?S,21,6,6,6,0,3
SUPER 10S ?,33,10,9,9,0,5
TOTAL RAID POINTS,731,205,206,190,0,130
AVERAGE RAID,,,,,,
POINTS / MATCH,9.25,10.25,9.36,9.04,0,8.12
NO OF SUPER ?,,,,,,
TACKLES,1,0,0,0,0,1
HIGH 5S ?,0,0,0,0,0,0
TOTAL TACKLE,,,,,,
POINTS,9,0,0,2,0,7
AVERAGE TACKLE /,,,,,,
MATCH,0.1,0,0,0.09,0,0.37
TOTAL TACKLES,44,7,5,13,0,19
TACKLE STRIKE RATE,20.45%,0,0,15.38%,0,36.84%
