SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 3,SEASON 2
MATCHES PLAYED,26,2,6,6,1,11
TOTAL POINTS,,,,,,
EARNED,55,6,10,18,0,21
MOST POINTS IN A,,,,,,
MATCH,6,3,3,6,0,5
NOT OUT % ?,77.86%,66.66%,58.82%,85.71%,75%,77.08%
TOTAL RAIDS,131,6,17,56,4,48
SUCCESSFUL RAIDS,,,,,,
%,40.45,100,52.94,30.35,0,43.75
NO OF SUPER RAID?S,4,0,1,1,0,2
SUPER 10S ?,0,0,0,0,0,0
TOTAL RAID POINTS,53,6,9,17,0,21
AVERAGE RAID,,,,,,
POINTS / MATCH,2.03,3,1.5,2.83,0,1.9
NO OF SUPER ?,,,,,,
TACKLES,0,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0,0
TOTAL TACKLE,,,,,,
POINTS,2,0,1,1,0,0
AVERAGE TACKLE /,,,,,,
MATCH,0.07,0,0.16,0.16,0,0
TOTAL TACKLES,13,0,3,3,1,6
TACKLE STRIKE RATE,15.38%,0,33.33%,33.33%,0,0
