SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,19,3,12,2,2
TOTAL POINTS,,,,,
EARNED,49,2,42,2,3
MOST POINTS IN A,,,,,
MATCH,8,2,8,2,2
NOT OUT % ?,73.91%,55.55%,78.02%,57.14%,62.50%
TOTAL RAIDS,115,9,91,7,8
SUCCESSFUL RAIDS,,,,,
%,36.52,11.11,40.65,28.57,25
NO OF SUPER RAID?S,2,0,2,0,0
SUPER 10S ?,0,0,0,0,0
TOTAL RAID POINTS,42,1,37,2,2
AVERAGE RAID,,,,,
POINTS / MATCH,2.21,0.33,3.08,1,1
NO OF SUPER ?,,,,,
TACKLES,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0
TOTAL TACKLE,,,,,
POINTS,7,1,5,0,1
AVERAGE TACKLE /,,,,,
MATCH,0.36,0.33,0.41,0,0.5
TOTAL TACKLES,22,2,18,1,1
TACKLE STRIKE RATE,31.81%,50%,27.77%,0,100%
