SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,97,13,17,18,9,13,13,14
TOTAL POINTS,,,,,,,,
EARNED,407,41,71,77,7,64,64,83
MOST POINTS IN A,,,,,,,,
MATCH,15,8,9,15,3,9,9,9
NOT OUT % ?,83.29%,82.95%,82.38%,87.65%,78.94%,80.13%,83.45%,81.53%
TOTAL RAIDS,946,88,176,235,38,146,133,130
SUCCESSFUL RAIDS,,,,,,,,
%,41.43,45.45,38.63,31.91,18.42,41.78,46.61,60.76
NO OF SUPER RAID?S,15,2,3,2,0,0,5,3
SUPER 10S ?,1,0,0,1,0,0,0,0
TOTAL RAID POINTS,392,40,68,75,7,61,62,79
AVERAGE RAID,,,,,,,,
POINTS / MATCH,4.04,3.07,4,4.16,0.77,4.69,4.76,5.64
NO OF SUPER ?,,,,,,,,
TACKLES,2,0,1,0,0,1,0,0
HIGH 5S ?,0,0,0,0,0,0,0,0
TOTAL TACKLE,,,,,,,,
POINTS,15,1,3,2,0,3,2,4
AVERAGE TACKLE /,,,,,,,,
MATCH,0.13,0.07,0.11,0.11,0,0.15,0.15,0.28
TOTAL TACKLES,93,4,19,13,7,16,13,21
TACKLE STRIKE RATE,16.12%,25%,15.78%,15.38%,0,18.75%,15.38%,19.04%
