SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,80,20,22,8,16,0,14
TOTAL POINTS,,,,,,,
EARNED,174,46,51,9,38,0,30
MOST POINTS IN A,,,,,,,
MATCH,6,6,5,3,6,0,4
NOT OUT % ?,100%,0,0,0,100%,0,0
TOTAL RAIDS,6,0,0,0,6,0,0
SUCCESSFUL RAIDS,,,,,,,
%,66.66,0,0,0,66.66,0,0
NO OF SUPER RAID?S,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0
TOTAL RAID POINTS,4,0,0,0,4,0,0
AVERAGE RAID,,,,,,,
POINTS / MATCH,0.05,0,0,0,0.25,0,0
NO OF SUPER ?,,,,,,,
TACKLES,10,4,4,0,2,0,0
HIGH 5S ?,2,1,1,0,0,0,0
TOTAL TACKLE,,,,,,,
POINTS,170,46,51,9,34,0,30
AVERAGE TACKLE /,,,,,,,
MATCH,2,2.1,2.13,1.12,2,0,2.14
TOTAL TACKLES,356,94,111,24,69,0,58
TACKLE STRIKE RATE,47.75%,48.93%,45.94%,37.50%,49.27%,0,51.72%
