SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,109,20,22,19,14,11,14,9
TOTAL POINTS,,,,,,,,
EARNED,334,57,59,54,37,34,64,29
MOST POINTS IN A,,,,,,,,
MATCH,9,8,6,7,6,9,9,7
NOT OUT % ?,86.20%,100%,0,83.33%,0,88.23%,82.35%,0
TOTAL RAIDS,58,1,0,6,0,34,17,0
SUCCESSFUL RAIDS,,,,,,,,
%,24.13,0,0,33.33,0,23.52,23.52,0
NO OF SUPER RAID?S,0,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0,0
TOTAL RAID POINTS,14,0,0,2,0,8,4,0
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0.12,0,0,0.1,0,0.72,0.28,0
NO OF SUPER ?,,,,,,,,
TACKLES,19,0,3,3,2,4,7,0
HIGH 5S ?,23,3,4,3,3,2,5,3
TOTAL TACKLE,,,,,,,,
POINTS,320,57,59,52,37,26,60,29
AVERAGE TACKLE /,,,,,,,,
MATCH,2.76,2.85,2.54,2.57,2.5,2,3.78,3.22
TOTAL TACKLES,651,132,125,104,72,58,96,64
TACKLE STRIKE RATE,49.15%,43.18%,47.20%,50%,51.38%,44.82%,62.50%,45.31%
