,HOMELATEST UPDATES ?GALLERY ?SCHEDULESTANDINGSTEAMS ?STATSABOUT ?FAN ARMY ?,,
?SQUAD,,,
,,,
,,,
,,,
,,"ATPODE","WANITIONNATIONALITYHEIGHTENDER, LEFT COVER ? INDIA? 5 ft 6 in"
SEASONS,OVERALL,SEASON 7,
,,,
MATCHES PLAYED,1,1,
"TOTAL POINTSEARNED",1,1,
"MOST POINTS IN AMATCH",1,1,
NOT OUT %?,0,0,
,,,
TOTAL RAIDS,0,0,
"SUCCESSFUL RAIDS%",0,0,
NO OF SUPER RAID?S,0,0,
SUPER 10S?,0,0,
TOTAL RAID POINTS,0,0,
"AVERAGE RAIDPOINTS / MATCH",0,0,
,,,
"NO OF SUPER?TACKLES",0,0,
HIGH 5S?,0,0,
"TOTAL TACKLEPOINTS",1,1,
"AVERAGE TACKLE /MATCH",1,1,
TOTAL TACKLES,2,2,
TACKLE STRIKE RATE,50%,50%,
