SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,31,8,4,17,2
TOTAL POINTS,,,,,
EARNED,41,1,1,39,0
MOST POINTS IN A,,,,,
MATCH,10,1,1,10,0
NOT OUT % ?,0,0,0,0,0
TOTAL RAIDS,0,0,0,0,0
SUCCESSFUL RAIDS,,,,,
%,0,0,0,0,0
NO OF SUPER RAID?S,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0
TOTAL RAID POINTS,0,0,0,0,0
AVERAGE RAID,,,,,
POINTS / MATCH,0,0,0,0,0
NO OF SUPER ?,,,,,
TACKLES,6,0,0,6,0
HIGH 5S ?,2,0,0,2,0
TOTAL TACKLE,,,,,
POINTS,41,1,1,39,0
AVERAGE TACKLE /,,,,,
MATCH,1.12,0.12,0.25,1.94,0
TOTAL TACKLES,98,5,8,84,1
TACKLE STRIKE RATE,41.83%,20%,12.50%,46.42%,0
