SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,59,19,21,19
TOTAL POINTS,,,,
EARNED,188,51,73,64
MOST POINTS IN A,,,,
MATCH,13,13,8,7
NOT OUT % ?,84.72%,85.18%,81.08%,89.15%
TOTAL RAIDS,275,81,111,83
SUCCESSFUL RAIDS,,,,
%,46.18,49.38,54.05,32.53
NO OF SUPER RAID?S,3,2,0,1
SUPER 10S ?,1,1,0,0
TOTAL RAID POINTS,127,40,60,27
AVERAGE RAID,,,,
POINTS / MATCH,2.15,2.1,2.85,1.42
NO OF SUPER ?,,,,
TACKLES,4,0,1,3
HIGH 5S ?,1,0,0,1
TOTAL TACKLE,,,,
POINTS,61,11,13,37
AVERAGE TACKLE /,,,,
MATCH,0.96,0.57,0.57,1.78
TOTAL TACKLES,168,41,44,83
TACKLE STRIKE RATE,36.30%,26.82%,29.54%,44.57%
