SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,125,20,22,26,14,13,14,16
TOTAL POINTS,,,,,,,,
EARNED,194,24,38,39,31,16,26,20
MOST POINTS IN A,,,,,,,,
MATCH,6,3,6,6,6,3,5,5
NOT OUT % ?,50%,0,0,100%,0,0,0,0
TOTAL RAIDS,2,0,0,1,1,0,0,0
SUCCESSFUL RAIDS,,,,,,,,
%,0,0,0,0,0,0,0,0
NO OF SUPER RAID?S,0,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0,0
TOTAL RAID POINTS,0,0,0,0,0,0,0,0
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0,0,0,0,0,0,0,0
NO OF SUPER ?,,,,,,,,
TACKLES,9,0,2,3,3,0,0,1
HIGH 5S ?,8,0,3,1,2,0,1,1
TOTAL TACKLE,,,,,,,,
POINTS,194,24,38,39,31,16,26,20
AVERAGE TACKLE /,,,,,,,,
MATCH,1.48,1.2,1.63,1.38,2,1.23,1.85,1.18
TOTAL TACKLES,506,79,95,113,66,35,53,65
TACKLE STRIKE RATE,38.33%,30.37%,40%,34.51%,46.96%,45.71%,49.05%,30.76%
