SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,
MATCHES PLAYED,,47,6,10,19,9,3
TOTAL POINTS,,,,,,,
EARNED,,152,5,25,97,25,0
MOST POINTS IN A,,,,,,,
MATCH,,11,4,5,11,9,0
NOT OUT %,?,75.56%,40%,75.32%,79.56%,62.16%,50%
TOTAL RAIDS,356,10,77,230,37,2,
SUCCESSFUL RAIDS %,40.44,50,29.87,39.56,67.56,0,
NO OF SUPER RAIDS?,4,0,2,0,2,0,
SUPER 10S ?,0,0,0,0,0,0,
TOTAL RAID POINTS,144,5,23,91,25,0,
AVERAGE RAID,,,,,,,
POINTS / MATCH,3.06,0.83,2.3,4.78,2.77,0,
NO OF SUPER ?,,,,,,,
TACKLES,1,0,0,1,0,0,
HIGH 5S ?,0,0,0,0,0,0,
TOTAL TACKLE POINTS,8,0,2,6,0,0,
AVERAGE TACKLE /,,,,,,,
MATCH,0.14,0,0.2,0.26,0,0,
TOTAL TACKLES,22,0,7,14,1,0,
TACKLE STRIKE RATE,36.36%,0,28.57%,42.85%,0,0,
