SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,
MATCHES PLAYED,,11,5,6,0
TOTAL POINTS,,,,,
EARNED,,5,3,2,0
MOST POINTS IN A,,,,,
MATCH,,2,2,2,0
NOT OUT %,?,0,0,0,0
TOTAL RAIDS,0,0,0,0,
SUCCESSFUL RAIDS %,0,0,0,0,
NO OF SUPER RAIDS?,0,0,0,0,
SUPER 10S ?,0,0,0,0,
TOTAL RAID POINTS,0,0,0,0,
AVERAGE RAID,,,,,
POINTS / MATCH,0,0,0,0,
NO OF SUPER ?,,,,,
TACKLES,2,1,1,0,
HIGH 5S ?,0,0,0,0,
TOTAL TACKLE POINTS,5,3,2,0,
AVERAGE TACKLE /,,,,,
MATCH,0.27,0.4,0.16,0,
TOTAL TACKLES,16,8,8,0,
TACKLE STRIKE RATE,31.25%,37.50%,25%,0,
