SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1,
MATCHES PLAYED,,45,2,0,9,6,5,16,7
TOTAL POINTS,,,,,,,,,
EARNED,,100,4,0,24,4,6,49,13
MOST POINTS IN A,,,,,,,,,
MATCH,,11,3,0,7,1,4,11,5
NOT OUT %,?,74.66%,42.85%,0,78.37%,76.47%,83.33%,76.11%,61.11%
TOTAL RAIDS,225,7,0,37,17,12,134,18,
SUCCESSFUL RAIDS %,36.44,57.14,0,45.94,23.52,33.33,32.83,50,
NO OF SUPER RAIDS?,2,0,0,1,0,0,1,0,
SUPER 10S ?,1,0,0,0,0,0,1,0,
TOTAL RAID POINTS,82,4,0,17,4,4,44,9,
AVERAGE RAID,,,,,,,,,
POINTS / MATCH,1.82,2,0,1.88,0.66,0.8,2.75,1.28,
NO OF SUPER ?,,,,,,,,,
TACKLES,1,0,0,0,0,0,0,1,
HIGH 5S ?,0,0,0,0,0,0,0,0,
TOTAL TACKLE POINTS,18,0,0,7,0,2,5,4,
AVERAGE TACKLE /,,,,,,,,,
MATCH,0.37,0,0,0.77,0,0.4,0.31,0.42,
TOTAL TACKLES,65,0,0,20,5,5,22,13,
TACKLE STRIKE RATE,27.69%,0,0,35%,0,40%,22.72%,30.76%,
