SEASONS,OVERALL,SEASON 7,SEASON 6,
MATCHES PLAYED,,7,4,3
TOTAL POINTS,,,,
EARNED,,12,5,7
MOST POINTS IN A,,,,
MATCH,,5,3,5
NOT OUT %,?,44.44%,45.45%,42.85%
TOTAL RAIDS,18,11,7,
SUCCESSFUL RAIDS %,27.77,18.18,42.85,
NO OF SUPER RAIDS?,0,0,0,
SUPER 10S ?,0,0,0,
TOTAL RAID POINTS,5,2,3,
AVERAGE RAID,,,,
POINTS / MATCH,0.71,0.5,1,
NO OF SUPER ?,,,,
TACKLES,2,1,1,
HIGH 5S ?,0,0,0,
TOTAL TACKLE POINTS,7,3,4,
AVERAGE TACKLE /,,,,
MATCH,0.71,0.5,1,
TOTAL TACKLES,6,2,4,
TACKLE STRIKE RATE,116.66%,150%,100%,
