SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,
MATCHES PLAYED,,45,17,22,6
TOTAL POINTS,,,,,
EARNED,,171,64,91,16
MOST POINTS IN A,,,,,
MATCH,,13,9,13,6
NOT OUT %,?,72.54%,75.71%,71.51%,66.66%
TOTAL RAIDS,357,140,172,45,
SUCCESSFUL RAIDS %,38.09,30.71,45.93,31.11,
NO OF SUPER RAIDS?,1,0,1,0,
SUPER 10S ?,2,0,2,0,
TOTAL RAID POINTS,136,43,79,14,
AVERAGE RAID,,,,,
POINTS / MATCH,3.02,2.52,3.59,2.33,
NO OF SUPER ?,,,,,
TACKLES,3,1,2,0,
HIGH 5S ?,0,0,0,0,
TOTAL TACKLE POINTS,35,21,12,2,
AVERAGE TACKLE /,,,,,
MATCH,0.71,1.17,0.45,0.33,
TOTAL TACKLES,58,34,21,3,
TACKLE STRIKE RATE,60.34%,61.76%,57.14%,66.66%,
