SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,
MATCHES PLAYED,,23,9,1,13
TOTAL POINTS,,,,,
EARNED,,38,21,1,16
MOST POINTS IN A,,,,,
MATCH,,6,6,1,3
NOT OUT %,?,57.14%,100%,0,50%
TOTAL RAIDS,7,1,0,6,
SUCCESSFUL RAIDS %,0,0,0,0,
NO OF SUPER RAIDS?,0,0,0,0,
SUPER 10S ?,0,0,0,0,
TOTAL RAID POINTS,0,0,0,0,
AVERAGE RAID,,,,,
POINTS / MATCH,0,0,0,0,
NO OF SUPER ?,,,,,
TACKLES,0,0,0,0,
HIGH 5S ?,1,1,0,0,
TOTAL TACKLE POINTS,38,21,1,16,
AVERAGE TACKLE /,,,,,
MATCH,1.65,2.33,1,1.23,
TOTAL TACKLES,96,44,3,49,
TACKLE STRIKE RATE,39.58%,47.72%,33.33%,32.65%,
