SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,
MATCHES PLAYED,,76,20,25,24,7
TOTAL POINTS,,,,,,
EARNED,,185,48,86,48,3
MOST POINTS IN A,,,,,,
MATCH,,8,7,8,5,2
NOT OUT %,?,100%,0,100%,0,0
TOTAL RAIDS,1,0,1,0,0,
SUCCESSFUL RAIDS %,0,0,0,0,0,
NO OF SUPER RAIDS?,0,0,0,0,0,
SUPER 10S ?,0,0,0,0,0,
TOTAL RAID POINTS,0,0,0,0,0,
AVERAGE RAID,,,,,,
POINTS / MATCH,0,0,0,0,0,
NO OF SUPER ?,,,,,,
TACKLES,10,2,4,4,0,
HIGH 5S ?,11,4,5,2,0,
TOTAL TACKLE POINTS,185,48,86,48,3,
AVERAGE TACKLE /,,,,,,
MATCH,2.3,2.3,3.28,1.83,0.42,
TOTAL TACKLES,332,88,138,89,17,
TACKLE STRIKE RATE,55.72%,54.54%,62.31%,53.93%,17.64%,
