SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,
MATCHES PLAYED,,58,20,19,19
TOTAL POINTS,,,,,
EARNED,,226,127,61,38
MOST POINTS IN A,,,,,
MATCH,,13,13,9,9
NOT OUT %,?,75.67%,73.23%,77.63%,78.12%
TOTAL RAIDS,596,284,152,160,
SUCCESSFUL RAIDS %,35.4,41.54,38.15,21.87,
NO OF SUPER RAIDS?,3,1,2,0,
SUPER 10S ?,4,4,0,0,
TOTAL RAID POINTS,211,118,58,35,
AVERAGE RAID,,,,,
POINTS / MATCH,3.63,5.9,3.05,1.84,
NO OF SUPER ?,,,,,
TACKLES,1,1,0,0,
HIGH 5S ?,0,0,0,0,
TOTAL TACKLE POINTS,15,9,3,3,
AVERAGE TACKLE /,,,,,
MATCH,0.24,0.4,0.15,0.15,
TOTAL TACKLES,62,23,19,20,
TACKLE STRIKE RATE,24.19%,39.13%,15.78%,15%,
