SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,63,16,23,24
TOTAL POINTS,,,,
EARNED,462,85,204,173
MOST POINTS IN A,,,,
MATCH,14,10,12,14
NOT OUT %,76.03%,72.46%,78.14%,75.93%
TOTAL RAIDS,868,207,366,295
SUCCESSFUL RAIDS %,49.88,40.57,51.91,53.89
NO OF SUPER RAIDS?,4,1,1,2
SUPER 10S ?,16,2,7,7
TOTAL RAID POINTS,433,84,190,159
AVERAGE RAID,,,,
POINTS / MATCH,6.87,5.25,8.26,6.62
NO OF SUPER ?,,,,
TACKLES,3,0,2,1
HIGH 5S ?,0,0,0,0
TOTAL TACKLE POINTS,29,1,14,14
AVERAGE TACKLE /,,,,
MATCH,0.41,0.06,0.52,0.54
TOTAL TACKLES,55,8,22,25
TACKLE STRIKE RATE,52.72%,12.50%,63.63%,56%
