SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,68,18,25,24,1
TOTAL POINTS,,,,,
EARNED,182,47,76,58,1
MOST POINTS IN A,,,,,
MATCH,8,7,8,7,1
NOT OUT %,97.36%,100%,96.66%,96.77%,100%
TOTAL RAIDS,76,13,30,31,2
SUCCESSFUL RAIDS %,3.94,7.69,0,3.22,50
NO OF SUPER RAIDS?,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0
TOTAL RAID POINTS,3,1,0,1,1
AVERAGE RAID,,,,,
POINTS / MATCH,0.04,0.05,0,0.04,1
NO OF SUPER ?,,,,,
TACKLES,12,6,4,2,0
HIGH 5S ?,10,4,3,3,0
TOTAL TACKLE POINTS,179,46,76,57,0
AVERAGE TACKLE /,,,,,
MATCH,2.45,2.22,2.88,2.29,0
TOTAL TACKLES,331,86,140,101,4
TACKLE STRIKE RATE,54.07%,53.48%,54.28%,56.43%,0
