SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,47,9,17,21
TOTAL POINTS,,,,
EARNED,109,10,51,48
MOST POINTS IN A,,,,
MATCH,8,3,7,8
NOT OUT %,76.78%,72%,83.82%,72%
TOTAL RAIDS,168,25,68,75
SUCCESSFUL RAIDS %,36.9,24,32.35,45.33
NO OF SUPER RAIDS?,2,0,0,2
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,62,6,22,34
AVERAGE RAID,,,,
POINTS / MATCH,1.31,0.66,1.29,1.61
NO OF SUPER ?,,,,
TACKLES,9,0,4,5
HIGH 5S ?,2,0,2,0
TOTAL TACKLE POINTS,47,4,29,14
AVERAGE TACKLE /,,,,
MATCH,0.8,0.44,1.47,0.42
TOTAL TACKLES,73,9,43,21
TACKLE STRIKE RATE,64.38%,44.44%,67.44%,66.66%
