SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,116,17,22,18,14,14,15,16
TOTAL POINTS,,,,,,,,
EARNED,300,44,40,25,41,37,61,52
MOST POINTS IN A,,,,,,,,
MATCH,9,5,6,4,9,8,9,7
NOT OUT %,93.75%,88.88%,95.45%,100%,100%,80%,95.23%,93.54%
TOTAL RAIDS,176,18,22,15,28,20,42,31
SUCCESSFUL RAIDS %,24.43,16.66,0,0,7.14,30,45.23,41.93
NO OF SUPER RAIDS?,0,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0,0
TOTAL RAID POINTS,43,3,0,0,2,6,19,13
AVERAGE RAID,,,,,,,,
POINTS / MATCH,0.37,0.17,0,0,0.14,0.42,1.26,0.81
NO OF SUPER ?,,,,,,,,
TACKLES,25,4,3,1,8,3,1,5
HIGH 5S ?,12,1,1,0,4,2,2,2
TOTAL TACKLE POINTS,257,41,40,25,39,31,42,39
AVERAGE TACKLE /,,,,,,,,
MATCH,2,2.17,1.68,1.33,2.21,2,2.73,2.12
TOTAL TACKLES,475,84,69,64,63,58,68,69
TACKLE STRIKE RATE,54.10%,48.80%,57.97%,39.06%,61.90%,53.44%,61.76%,56.52%
