SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,36,9,22,5
TOTAL POINTS,,,,
EARNED,65,8,49,8
MOST POINTS IN A,,,,
MATCH,6,3,6,6
NOT OUT %,66.66%,0,100%,0
TOTAL RAIDS,3,0,2,1
SUCCESSFUL RAIDS %,33.33,0,0,100
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,1,0,0,1
AVERAGE RAID,,,,
POINTS / MATCH,0.02,0,0,0.2
NO OF SUPER ?,,,,
TACKLES,5,0,4,1
HIGH 5S ?,3,0,2,1
TOTAL TACKLE POINTS,64,8,49,7
AVERAGE TACKLE /,,,,
MATCH,1.63,0.88,2.04,1.2
TOTAL TACKLES,145,28,105,12
TACKLE STRIKE RATE,44.13%,28.57%,46.66%,58.33%
