SEASONS,OVERALL,SEASON 7,SEASON 6
MATCHES PLAYED,35,14,21
TOTAL POINTS,,,
EARNED,160,58,102
MOST POINTS IN A,,,
MATCH,17,14,17
NOT OUT %,75.24%,71.92%,77.20%
TOTAL RAIDS,307,114,193
SUCCESSFUL RAIDS %,46.9,49.12,45.59
NO OF SUPER RAIDS?,5,1,4
SUPER 10S ?,2,1,1
TOTAL RAID POINTS,144,56,88
AVERAGE RAID,,,
POINTS / MATCH,4.11,4,4.19
NO OF SUPER ?,,,
TACKLES,2,0,2
HIGH 5S ?,0,0,0
TOTAL TACKLE POINTS,16,2,14
AVERAGE TACKLE /,,,
MATCH,0.4,0.14,0.57
TOTAL TACKLES,51,8,43
TACKLE STRIKE RATE,31.37%,25%,32.55%
