SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,94,13,21,16,9,13,15,7
TOTAL POINTS,,,,,,,,
EARNED,379,58,147,80,19,12,58,5
MOST POINTS IN A,,,,,,,,
MATCH,16,10,13,16,10,3,10,2
NOT OUT %,80.34%,76.76%,81.99%,82.55%,76.92%,68.57%,82.07%,76.92%
TOTAL RAIDS,702,99,261,149,39,35,106,13
SUCCESSFUL RAIDS %,52.7,58.58,55.17,52.34,48.71,34.28,50.94,38.46
NO OF SUPER RAIDS?,8,0,2,3,2,0,1,0
SUPER 10S ?,11,1,5,3,1,0,1,0
TOTAL RAID POINTS,370,58,144,78,19,12,54,5
AVERAGE RAID,,,,,,,,
POINTS / MATCH,3.93,4.46,6.85,4.87,2.11,0.92,3.6,0.71
NO OF SUPER ?,,,,,,,,
TACKLES,3,0,1,1,0,0,1,0
HIGH 5S ?,0,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,9,0,3,2,0,0,4,0
AVERAGE TACKLE /,,,,,,,,
MATCH,0.06,0,0.09,0.06,0,0,0.2,0
TOTAL TACKLES,46,5,9,10,0,4,10,8
TACKLE STRIKE RATE,19.56%,0,33.33%,20%,0,0,40%,0
