SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,92,17,22,23,5,12,13
TOTAL POINTS,,,,,,,
EARNED,156,40,40,30,0,9,37
MOST POINTS IN A,,,,,,,
MATCH,8,6,6,4,0,2,8
NOT OUT %,90.69%,100%,100%,100%,100%,0,86.36%
TOTAL RAIDS,43,11,2,2,5,1,22
SUCCESSFUL RAIDS %,0,0,0,0,0,0,0
NO OF SUPER RAIDS?,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0
TOTAL RAID POINTS,0,0,0,0,0,0,0
AVERAGE RAID,,,,,,,
POINTS / MATCH,0,0,0,0,0,0,0
NO OF SUPER ?,,,,,,,
TACKLES,19,5,7,2,0,1,4
HIGH 5S ?,8,3,2,0,0,0,3
TOTAL TACKLE POINTS,156,40,40,30,0,9,37
AVERAGE TACKLE /,,,,,,,
MATCH,1.48,2.05,1.5,1.21,0,0.66,2.53
TOTAL TACKLES,340,82,96,68,9,24,61
TACKLE STRIKE RATE,45.88%,48.78%,41.66%,44.11%,0,37.50%,60.65%
