SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,56,7,15,3,13,8,10
TOTAL POINTS,,,,,,,
EARNED,156,13,41,4,45,39,14
MOST POINTS IN A,,,,,,,
MATCH,11,5,11,2,7,10,5
NOT OUT %,79.09%,72.22%,76.82%,57.14%,82.07%,83.69%,79.16%
TOTAL RAIDS,354,36,82,14,106,92,24
SUCCESSFUL RAIDS %,42.37,30.55,46.34,28.57,42.45,41.3,58.33
NO OF SUPER RAIDS?,7,1,3,0,1,1,1
SUPER 10S ?,2,0,1,0,0,1,0
TOTAL RAID POINTS,150,11,38,4,45,38,14
AVERAGE RAID,,,,,,,
POINTS / MATCH,2.67,1.57,2.53,1.33,3.46,4.75,1.4
NO OF SUPER ?,,,,,,,
TACKLES,0,0,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,6,2,3,0,0,1,0
AVERAGE TACKLE /,,,,,,,
MATCH,0.1,0.28,0.2,0,0,0.12,0
TOTAL TACKLES,29,4,9,0,8,6,2
TACKLE STRIKE RATE,20.68%,50%,33.33%,0,0,16.66%,0
