SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,59,18,22,2,0,9,8
TOTAL POINTS,,,,,,,
EARNED,98,38,39,0,0,12,9
MOST POINTS IN A,,,,,,,
MATCH,6,6,5,0,0,3,5
NOT OUT %,90.90%,66.66%,100%,0,0,0,100%
TOTAL RAIDS,11,3,4,0,0,0,4
SUCCESSFUL RAIDS %,0,0,0,0,0,0,0
NO OF SUPER RAIDS?,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0
TOTAL RAID POINTS,0,0,0,0,0,0,0
AVERAGE RAID,,,,,,,
POINTS / MATCH,0,0,0,0,0,0,0
NO OF SUPER ?,,,,,,,
TACKLES,8,2,3,0,0,0,3
HIGH 5S ?,4,2,1,0,0,0,1
TOTAL TACKLE POINTS,98,38,39,0,0,12,9
AVERAGE TACKLE /,,,,,,,
MATCH,1.52,2,1.63,0,0,1.33,0.75
TOTAL TACKLES,275,98,118,1,0,34,24
TACKLE STRIKE RATE,35.63%,38.77%,33.05%,0,0,35.29%,37.50%
