SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4
MATCHES PLAYED,51,16,22,9,4
TOTAL POINTS,,,,,
EARNED,395,157,177,58,3
MOST POINTS IN A,,,,,
MATCH,15,13,15,9,3
NOT OUT %,78.65%,80.62%,77.23%,78.67%,70.58%
TOTAL RAIDS,820,320,347,136,17
SUCCESSFUL RAIDS %,47.07,47.81,49.56,42.64,17.64
NO OF SUPER RAIDS?,12,6,5,1,0
SUPER 10S ?,15,9,6,0,0
TOTAL RAID POINTS,386,153,172,58,3
AVERAGE RAID,,,,,
POINTS / MATCH,7.56,9.56,7.81,6.44,0.75
NO OF SUPER ?,,,,,
TACKLES,0,0,0,0,0
HIGH 5S ?,0,0,0,0,0
TOTAL TACKLE POINTS,9,4,5,0,0
AVERAGE TACKLE /,,,,,
MATCH,0.17,0.25,0.22,0,0
TOTAL TACKLES,39,15,18,4,2
TACKLE STRIKE RATE,23.07%,26.66%,27.77%,0,0
