SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,123,20,22,24,16,12,15,14
TOTAL POINTS,,,,,,,,
EARNED,943,158,208,186,130,76,96,89
MOST POINTS IN A,,,,,,,,
MATCH,20,14,20,17,17,13,14,18
NOT OUT %,81.18%,80.92%,80.32%,78.88%,85.92%,82.16%,82.35%,78.37%
TOTAL RAIDS,1765,304,366,360,277,157,153,148
SUCCESSFUL RAIDS %,48.49,48.02,53.55,47.77,45.48,43.94,39.21,58.78
NO OF SUPER RAIDS?,20,2,4,8,2,0,1,3
SUPER 10S ?,31,7,10,7,2,1,1,3
TOTAL RAID POINTS,856,146,196,172,126,69,60,87
AVERAGE RAID,,,,,,,,
POINTS / MATCH,6.95,7.3,8.9,7.16,7.87,5.75,4,6.21
NO OF SUPER ?,,,,,,,,
TACKLES,8,2,1,1,0,0,4,0
HIGH 5S ?,4,0,1,0,0,0,3,0
TOTAL TACKLE POINTS,87,12,12,14,4,7,36,2
AVERAGE TACKLE /,,,,,,,,
MATCH,0.64,0.5,0.5,0.54,0.25,0.58,2.13,0.14
TOTAL TACKLES,231,27,38,34,28,21,61,22
TACKLE STRIKE RATE,37.66%,44.44%,31.57%,41.17%,14.28%,33.33%,59.01%,9.09%
