SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,81,17,17,16,6,9,16
TOTAL POINTS,,,,,,,
EARNED,324,56,74,87,13,33,61
MOST POINTS IN A,,,,,,,
MATCH,15,11,13,11,5,15,10
NOT OUT %,74.35%,72.10%,75%,77.54%,68.51%,82.75%,70.74%
TOTAL RAIDS,733,147,140,187,54,58,147
SUCCESSFUL RAIDS %,42.42,37.41,50,45.45,24.07,53.44,38.77
NO OF SUPER RAIDS?,4,0,1,1,1,0,1
SUPER 10S ?,9,1,3,4,0,1,0
TOTAL RAID POINTS,311,55,70,85,13,31,57
AVERAGE RAID,,,,,,,
POINTS / MATCH,3.83,3.23,4.11,5.31,2.16,3.44,3.56
NO OF SUPER ?,,,,,,,
TACKLES,1,0,0,0,0,1,0
HIGH 5S ?,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,13,1,4,2,0,2,4
AVERAGE TACKLE /,,,,,,,
MATCH,0.14,0.05,0.23,0.12,0,0.11,0.25
TOTAL TACKLES,46,7,9,10,1,5,14
TACKLE STRIKE RATE,28.26%,14.28%,44.44%,20%,0,40%,28.57%
