SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3
MATCHES PLAYED,79,17,19,21,15,7
TOTAL POINTS,,,,,,
EARNED,317,55,85,105,62,10
MOST POINTS IN A,,,,,,
MATCH,15,15,9,11,10,5
NOT OUT %,78.09%,77.34%,73.63%,83.80%,75.53%,75%
TOTAL RAIDS,735,128,201,247,139,20
SUCCESSFUL RAIDS %,41.22,41.4,40.29,39.67,43.88,50
NO OF SUPER RAIDS?,9,1,4,2,1,1
SUPER 10S ?,5,1,0,3,1,0
TOTAL RAID POINTS,303,53,81,98,61,10
AVERAGE RAID,,,,,,
POINTS / MATCH,3.83,3.11,4.26,4.66,4.06,1.42
NO OF SUPER ?,,,,,,
TACKLES,2,0,0,2,0,0
HIGH 5S ?,0,0,0,0,0,0
TOTAL TACKLE POINTS,14,2,4,7,1,0
AVERAGE TACKLE /,,,,,,
MATCH,0.15,0.11,0.21,0.23,0.06,0
TOTAL TACKLES,59,7,21,18,10,3
TACKLE STRIKE RATE,23.72%,28.57%,19.04%,38.88%,10%,0
