SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,45,15,9,21
TOTAL POINTS,,,,
EARNED,167,51,31,85
MOST POINTS IN A,,,,
MATCH,14,8,11,14
NOT OUT %,78.73%,75%,78.94%,81.08%
TOTAL RAIDS,301,96,57,148
SUCCESSFUL RAIDS %,40.53,33.33,43.85,43.91
NO OF SUPER RAIDS?,6,1,1,4
SUPER 10S ?,2,0,0,2
TOTAL RAID POINTS,122,32,25,65
AVERAGE RAID,,,,
POINTS / MATCH,2.71,2.13,2.77,3.09
NO OF SUPER ?,,,,
TACKLES,6,4,1,1
HIGH 5S ?,1,1,0,0
TOTAL TACKLE POINTS,45,19,6,20
AVERAGE TACKLE /,,,,
MATCH,0.86,1,0.55,0.9
TOTAL TACKLES,95,32,11,52
TACKLE STRIKE RATE,47.36%,59.37%,54.54%,38.46%
