SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 4,SEASON 3
MATCHES PLAYED,64,20,22,12,10
TOTAL POINTS,,,,,
EARNED,202,68,67,35,32
MOST POINTS IN A,,,,,
MATCH,8,8,6,8,6
NOT OUT %,60%,66.66%,100%,0,0
TOTAL RAIDS,5,3,1,0,1
SUCCESSFUL RAIDS %,20,33.33,0,0,0
NO OF SUPER RAIDS?,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0
TOTAL RAID POINTS,1,1,0,0,0
AVERAGE RAID,,,,,
POINTS / MATCH,0.01,0.05,0,0,0
NO OF SUPER ?,,,,,
TACKLES,18,7,5,0,6
HIGH 5S ?,13,5,4,2,2
TOTAL TACKLE POINTS,201,67,67,35,32
AVERAGE TACKLE /,,,,,
MATCH,2.85,3,2.81,2.91,2.6
TOTAL TACKLES,389,133,128,67,61
TACKLE STRIKE RATE,51.67%,50.37%,52.34%,52.23%,52.45%
