SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,32,8,14,10
TOTAL POINTS,,,,
EARNED,43,14,14,15
MOST POINTS IN A,,,,
MATCH,4,4,3,3
NOT OUT %,100%,0,100%,0
TOTAL RAIDS,1,0,1,0
SUCCESSFUL RAIDS %,0,0,0,0
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,0,0,0,0
AVERAGE RAID,,,,
POINTS / MATCH,0,0,0,0
NO OF SUPER ?,,,,
TACKLES,3,1,2,0
HIGH 5S ?,0,0,0,0
TOTAL TACKLE POINTS,43,14,14,15
AVERAGE TACKLE /,,,,
MATCH,1.25,1.62,0.85,1.5
TOTAL TACKLES,105,28,46,31
TACKLE STRIKE RATE,40.95%,50%,30.43%,48.38%
