SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,42,14,16,12
TOTAL POINTS,,,,
EARNED,63,9,38,16
MOST POINTS IN A,,,,
MATCH,8,2,8,6
NOT OUT %,89.47%,100%,86.66%,100%
TOTAL RAIDS,19,2,15,2
SUCCESSFUL RAIDS %,26.31,0,33.33,0
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,5,0,5,0
AVERAGE RAID,,,,
POINTS / MATCH,0.11,0,0.31,0
NO OF SUPER ?,,,,
TACKLES,7,3,3,1
HIGH 5S ?,5,0,4,1
TOTAL TACKLE POINTS,58,9,33,16
AVERAGE TACKLE /,,,,
MATCH,1.21,0.42,1.87,1.25
TOTAL TACKLES,170,45,81,44
TACKLE STRIKE RATE,34.11%,20%,40.74%,36.36%
