SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,25,14,6,5
TOTAL POINTS,,,,
EARNED,62,41,10,11
MOST POINTS IN A,,,,
MATCH,9,9,3,7
NOT OUT %,78.57%,100%,100%,57.14%
TOTAL RAIDS,14,1,6,7
SUCCESSFUL RAIDS %,21.42,0,16.66,28.57
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,3,0,1,2
AVERAGE RAID,,,,
POINTS / MATCH,0.12,0,0.16,0.4
NO OF SUPER ?,,,,
TACKLES,12,7,2,3
HIGH 5S ?,2,1,0,1
TOTAL TACKLE POINTS,59,41,9,9
AVERAGE TACKLE /,,,,
MATCH,1.88,2.42,1.16,1.2
TOTAL TACKLES,123,74,26,23
TACKLE STRIKE RATE,47.96%,55.40%,34.61%,39.13%
