SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2
MATCHES PLAYED,69,19,13,16,7,10,4
TOTAL POINTS,,,,,,,
EARNED,119,43,18,20,13,18,7
MOST POINTS IN A,,,,,,,
MATCH,5,5,5,4,5,4,5
NOT OUT %,86.53%,94.73%,81.81%,0,0,0,0
TOTAL RAIDS,52,38,11,0,1,1,1
SUCCESSFUL RAIDS %,28.84,21.05,54.54,0,100,0,0
NO OF SUPER RAIDS?,0,0,0,0,0,0,0
SUPER 10S ?,0,0,0,0,0,0,0
TOTAL RAID POINTS,15,8,6,0,1,0,0
AVERAGE RAID,,,,,,,
POINTS / MATCH,0.21,0.42,0.46,0,0.14,0,0
NO OF SUPER ?,,,,,,,
TACKLES,14,6,0,3,3,1,1
HIGH 5S ?,3,1,0,0,1,0,1
TOTAL TACKLE POINTS,104,35,12,20,12,18,7
AVERAGE TACKLE /,,,,,,,
MATCH,1.3,1.52,0.92,1.06,1.28,1.7,1.5
TOTAL TACKLES,237,79,29,55,21,40,13
TACKLE STRIKE RATE,43.88%,44.30%,41.37%,36.36%,57.14%,45%,53.84%
