SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5
MATCHES PLAYED,67,19,22,26
TOTAL POINTS,,,,
EARNED,177,48,58,71
MOST POINTS IN A,,,,
MATCH,7,7,5,7
NOT OUT %,92.30%,0,87.50%,100%
TOTAL RAIDS,13,0,8,5
SUCCESSFUL RAIDS %,0,0,0,0
NO OF SUPER RAIDS?,0,0,0,0
SUPER 10S ?,0,0,0,0
TOTAL RAID POINTS,0,0,0,0
AVERAGE RAID,,,,
POINTS / MATCH,0,0,0,0
NO OF SUPER ?,,,,
TACKLES,10,3,2,5
HIGH 5S ?,12,3,4,5
TOTAL TACKLE POINTS,177,48,58,71
AVERAGE TACKLE /,,,,
MATCH,2.49,2.36,2.54,2.53
TOTAL TACKLES,392,104,134,154
TACKLE STRIKE RATE,45.15%,46.15%,43.28%,46.10%
