SEASONS,OVERALL,SEASON 7,SEASON 6,SEASON 5,SEASON 4,SEASON 3,SEASON 2,SEASON 1
MATCHES PLAYED,103,13,18,21,11,15,14,11
TOTAL POINTS,,,,,,,,
EARNED,483,50,82,89,65,90,50,57
MOST POINTS IN A,,,,,,,,
MATCH,15,8,12,9,13,13,12,15
NOT OUT %,77.96%,81.08%,77.77%,78.77%,76.66%,83.15%,72.85%,71.08%
TOTAL RAIDS,1021,111,171,212,120,184,140,83
SUCCESSFUL RAIDS %,45.05,44.14,46.19,41.98,50.83,42.93,34.28,66.26
NO OF SUPER RAIDS?,14,0,2,0,2,2,3,5
SUPER 10S ?,9,0,2,0,2,2,1,2
TOTAL RAID POINTS,460,49,79,89,61,79,48,55
AVERAGE RAID,,,,,,,,
POINTS / MATCH,4.46,3.76,4.38,4.23,5.54,5.26,3.42,5
NO OF SUPER ?,,,,,,,,
TACKLES,3,0,1,0,0,2,0,0
HIGH 5S ?,0,0,0,0,0,0,0,0
TOTAL TACKLE POINTS,23,1,3,0,4,11,2,2
AVERAGE TACKLE /,,,,,,,,
MATCH,0.19,0.07,0.11,0,0.36,0.6,0.14,0.18
TOTAL TACKLES,99,10,11,12,17,20,15,14
TACKLE STRIKE RATE,23.23%,10%,27.27%,0,23.52%,55%,13.33%,14.28%
